id,transcription,label
Ses04F_impro01_F000,"Hi. Um, excuse me I've been to, like, five of the desks here and nobody seems to be able to tell me what it is I need to do. I've been here for over an hour. Can you possibly help me?",0
Ses04F_impro01_M000,"Uh, lets- What do you need exactly?",9
Ses04F_impro01_F001,Well I filled out all the forms and I've given them to everyone and they keep sending me to someone else.,9
Ses04F_impro01_M001,"You need a new license, is that what you're telling me?",9
Ses04F_impro01_F002,Yes. I'm just trying to get a new license.,9
Ses04F_impro01_M002,Let me see the form. Just let me see the form. Yeah. You filled this out wrong. I can't - I can't - I can't do anything with this.,9
Ses04F_impro01_F003,Okay. I did-,9
Ses04F_impro01_M003,Ma'am I cannot help you. You need to fill out a new form and you need to get in the back of the line.,9
Ses04F_impro01_F004,I did exactly what they told me to do.,3
Ses04F_impro01_F005,I have done everything everyone in this entire place has told me to do. I've been here for over an hour. They make me wait in line. Every single time I start over again.,9
Ses04F_impro01_M004,Ma'am I can't help you. Do you understand?,9
Ses04F_impro01_F006,I have a life. I have things to do. I have places to go. Can you not just put this through please?,9
Ses04F_impro01_M005,I've got a life too ma'am,3
Ses04F_impro01_M006,and I got to - i got to work here all day long. Okay. I've got to deal with you people all day.,9
Ses04F_impro01_M007,So what I need you to do is I need you to fill out this form correctly and go to the back of the line.,9
Ses04F_impro01_F007,"Okay, that's nice. That's nice but I have done everything you people have told me to do. I don't understand why you can't just help me get this done. It's simple, right? License. I need it. Can we just do this please?",9
Ses04F_impro01_M008,There's nothing I can do for you. Do you understand that? Nothing.,3
Ses04F_impro01_M009,"What I need you to do is go to the back of the line,",9
Ses04F_impro01_F008,I've been to the back of the line five times.,3
Ses04F_impro01_M010,fill out this form and wait,9
Ses04F_impro01_M011,You're going to have to go back again.,3
Ses04F_impro01_F009,Okay. What is it that I did wrong on the form that I have to start all over again?,3
Ses04F_impro01_M012,This whole area here you didn't initial,0
Ses04F_impro01_M013,and you filled out-,9
Ses04F_impro01_F010,"Okay. Well, I can do that right here right now without going to the back of the line again. See look initialed. All done. Ready to go.",3
Ses04F_impro01_M014,Ma'am I have other people waiting in line right now. I have other people waiting in line right now.,3
Ses04F_impro01_F011,I have been waiting for over an hour.,9
Ses04F_impro01_M015,This whole area of the form was not supposed to be filled out and you put the address in the wrong place,9
Ses04F_impro01_M016,"Uhh, and you spelled your own name wrong. So I need you to take that",9
Ses04F_impro01_F012,I'm not starting over again. No I have done this five times. I am not starting over again.,3
Ses04F_impro01_M017,"and, uh, throw it away. I need you to fill out a new form.",9
Ses04F_impro01_M018,Ma'am you're going to have- you- look. You really- you really,9
Ses04F_impro01_F013,Look can you not just help me?,9
Ses04F_impro01_M019,I can't help you right now. Do you understand that?,0
Ses04F_impro01_F014,I mean look she's -she's perfectly nice. She doesn't mind waiting for a couple of minutes because I've been here all day. I have a job to get back to. I have kids to pick up from school. I can't just stay here.,3
Ses04F_impro01_M020,Look I'm going on my lunch break right now. So you're just going to have to take this form and go to the back of the line.,0
Ses04F_impro01_F015,No. No. No. No. You have to help me.,0
Ses04F_impro01_M021,like I said before right now.,3
Ses04F_impro01_F016,This is your job is to help people like me who need to get a new license.,3
Ses04F_impro01_F017,That's like the whole purpose of you being here.,0
Ses04F_impro01_M022,Ma'am you are testing my patience. Do you understand me?,9
Ses04F_impro01_F018,I- I- I'm testing your patience?,0
Ses04F_impro01_M023,You're testing my goddamn patience.,3
Ses04F_impro01_F019,I'm testing your patience?,3
Ses04F_impro01_M024,"I work in this fucking building all day. And I'm sick of it, okay?",3
Ses04F_impro01_F020,Yeah. You have to be here all day.,0
Ses04F_impro01_F021,I don't need to be. I need to go and do other things with my time. Okay.,3
Ses04F_impro01_F022,"Please just put the form in, take the picture, let me get my license and get the hell out of here. Please.",3
Ses04F_impro01_M025,I've walked away already. I'm not here anymore.,0
Ses04F_script02_1_M000,What time is it? They're supposed to run around midnight. This is great isn't it? Look at this night we've got here. It couldn't be better.,2
Ses04F_script02_1_M001,"Actually, I wanted to go a little farther up the coast, get away from the lights and the people, but I was afraid to miss it. How you doing?",0
Ses04F_script02_1_F000,Fine.,1
Ses04F_script02_1_M002,"Is that, is that-that's just foam isn't it? I can't even tell",5
Ses04F_script02_1_M003,"although if you can't tell, it probably isn't them. It will probably be unmistakable. Don't you think? How you doing?",0
Ses04F_script02_1_M004,"Oh, no you know what I did? I forgot my flashlight. How could I be so stupid I forgot my flashlight.",9
Ses04F_script02_1_F001,What flashlight?,0
Ses04F_script02_1_M005,"The flashlight, the silver one. There's only one isn't there?",9
Ses04F_script02_1_F002,It's not yours.,9
Ses04F_script02_1_M006,Whose is it?,6
Ses04F_script02_1_F003,It's ours. It's mine too.,0
Ses04F_script02_1_M007,Well sure.,9
Ses04F_script02_1_F004,You kept saying my flashlight as if it somehow is just yours. How's that supposed to make me feel?,0
Ses04F_script02_1_M008,"No of course our flashlight, yours and mine, mi flashlight es su flashlight naturally. How could we not think to bring it?",9
Ses04F_script02_1_M009,I hope the moon stays out. I wonder do they always run during a full moon. I can't remember if it was full last year. Remember?,5
Ses04F_script02_1_F005,Yes.,0
Ses04F_script02_1_M010,"Are you cold? Do you want my jacket? We should have brought the blanket, our blanket.",1
Ses04F_script02_1_M011,"Ah, this is great, isn't it? I didn't even think to bring a six-pack. A six-pack would be just the ticket right about now.",2
Ses04F_script02_1_M012,I can't believe I forgot. I'm like a kid. It's amazing I got out of the house with my fly zipped.,0
Ses04F_script02_1_M013,"Oh, I wonder if they can hear me talk or feel the vibrations in the sand when we move around?",0
Ses04F_script02_1_F006,I'm cold.,0
Ses04F_script02_1_M014,Do you want my jacket?,0
Ses04F_script02_1_F007,It's after eleven let's go home.,3
Ses04F_script02_1_M015,Are you kidding? We'd miss it. We just got here. What's the point of coming down here if we just turn around and go home?,9
Ses04F_script02_1_F008,There is no point in coming down here.,3
Ses04F_script02_1_M016,Right.,9
Ses04F_script02_1_F009,That's my point.,9
Ses04F_script02_1_M017,That's my point too.,1
Ses04F_script02_1_F010,So let's go home.,9
Ses04F_script02_1_M018,"No, no, no. That's not my point. My point is is that there's no point in coming down here if we just leave. Don't you want to see it?",9
Ses04F_script02_1_F011,Not particularly.,9
Ses04F_script02_1_M019,Why not?,0
Ses04F_script02_1_F012,I just don't. It's stupid.,3
Ses04F_script02_1_M020,Honey this is natural phenomenon. I mean this only happens once a year. This is a great opportunity.,9
Ses04F_script02_1_M021,Think about the people in Kansas. They'd have to get plane tickets and hotel reservations to come see this. We're just forty minutes away. It's too good to pass up.,5
Ses04F_script02_1_F013,"Pass up what? These little fish swim onto the beach, flop around, and then swim away and then they die.",3
Ses04F_script02_1_M022,"Yeah but that moment on the beach is the highlight of their little lives. All that flopping around is laying eggs or what do you, spawning or mating something like that.",9
Ses04F_script02_1_M023,This is the big night for these guys. Life's last orgy.,5
Ses04F_script02_1_F014,What are you so excited about? This isn't a moon landing we're talking about. It's fish. It's fish nobody even eats.,3
Ses04F_script02_1_M024,"Yeah, they do.",9
Ses04F_script02_1_F015,"Oh, Augie.",9
Ses04F_script02_1_M025,Okay but it's fish who do something none of the other fish do,9
Ses04F_script02_1_M026,"like the swallows returning to Capistrano or the lemmings throwing themselves off the cliffs, like that. There's mystery here and magic",5
Ses04F_script02_1_M027,a little bit of the unexplainable. I don't see how you cannot be interested.,9
Ses04F_script02_1_F016,I'm just not.,3
Ses04F_script02_1_M028,For real?,6
Ses04F_script02_1_F017,Yes.,3
Ses04F_script02_1_M029,I don't get it. The first time we came here to see it you said it was the best night of your life and last year I remember distinctly you were so excited to get here. You stubbed your toe rushing me out the door and didn't even notice until we were in the car.,9
Ses04F_script02_1_F018,Last year you will also remember our shoes got wet. I got sand in my panties. We got in a big fight over nothing. You got a sore throat and we did not see the Grunions.,0
Ses04F_script02_1_M030,We weren't in a good spot.,9
Ses04F_script02_1_F019,We didn't see them the first time either.,3
Ses04F_script02_1_M031,We just weren't in a good spot. This is a much better spot.,3
Ses04F_script02_1_M032,"I've got good instincts for these things. Look there. What's that. Is that? Is that, is that-no it's just seaweed isn't it.",5
Ses04F_script02_1_M033,"Ah, man this is great. I wouldn't miss this for anything. I mean think about this. I know you're not interested but just think about this for a minute.",5
Ses04F_script02_1_M034,Out there someplace there's this huge mass of silver fish heading this way. They don't know why. We don't know why. It wasn't a decision. They didn't take a vote.,5
Ses04F_script02_1_M035,No one sent them a map or an invitation. Just some little instinctual time release firecracker went off in their little bodies and all as one. They turned and formed a line as long as the California coast and started swimming.,5
Ses04F_script02_1_M036,They're swimming right now as if that's the only thing that matters.,5
Ses04F_script02_1_M037,It's single mindedness with no mind. Urgency that's pure urge.,5
Ses04F_script02_1_M038,They don't know what drives them. They don't give it a name or ask question. They just turn as one and start the swim that brings them here to this place,5
Ses04F_script02_1_M039,where we stand for massive celebration of sex and death.,5
Ses04F_script02_1_M040,"Ah, I'm giving myself goose bumps. All my hairs are popping up.",5
Ses04F_script02_1_F020,That's the wind.,9
Ses04F_script02_1_M041,Well so what do you think?,0
Ses04F_script02_1_F021,About what?,3
Ses04F_script02_1_M042,What I said.,0
Ses04F_script02_1_F022,It's ridiculous.,3
Ses04M_impro08_M000,Thank you for calling Sprint. We care about everybody. How can I help you?,9
Ses04M_impro08_F000,Hi. I've been on the phone for an hour trying to get a little discrepancy on my bill fixed. I was charged for two hundred dollars worth of calls that I didn't make.,9
Ses04M_impro08_M001,Are you sure you didn't make them?,1
Ses04M_impro08_F001,I'm positive. They came from like another state.,9
Ses04M_impro08_M002,"Can I get your phone number, please?",9
